class_nb, nb_pca, last_second,smoothing_freq_max, down_freq_max,conv_channel, conv_windows,step_smoothing, step_down,window_ori, channels_ori, pool_ori,window_sm, channels_sm, pool_sm,window_dn, channels_dn, pool_dn,nb_dense,square_mean_valence,pearson_val,square_mean_arousal,pearson_arousal,kappa
7,5,3,10,10,50,8,1,1,10,15,300,10,15,300,10,15,300,10,3.3905354885879047,0.25557500800891525,2.9351111683375812,0.27849834556789443,
7,5,3,10,10,50,8,1,1,10,15,300,10,15,300,10,15,300,50,3.2892064024802106,0.2661915828560956,2.845031220786093,0.24662358390334785,
7,5,3,10,10,50,8,1,1,10,15,300,10,15,300,10,15,300,100,3.41560770993033,0.2189219088681698,2.7492957711013704,0.26871211740770834,
7,5,3,10,10,50,8,1,1,10,25,300,10,25,300,10,25,300,10,3.4517298366237568,0.28958471226784177,3.182732592900922,0.2821189756633304,
7,5,3,10,10,50,8,1,1,10,25,300,10,25,300,10,25,300,50,3.353789032459661,0.2454652191826224,2.5856009729322653,0.3575705965088504,
7,5,3,10,10,50,8,1,1,10,25,300,10,25,300,10,25,300,100,3.321749949514371,0.2586610521682866,3.024064594237054,0.1584486858836185,
7,5,3,10,10,10,1,1,1,20,5,1000,20,5,1000,20,5,1000,10,3.2699572023484507,0.2995734723508016,3.0115754490575917,0.17624501766477374,
7,5,3,10,10,10,1,1,1,20,5,1000,20,5,1000,20,5,1000,50,3.3873385981522834,0.2381200071570555,2.9382815115684284,0.20734335697638784,
7,5,3,10,10,10,1,1,1,20,5,1000,20,5,1000,20,5,1000,100,3.4325270779859185,0.21421071508973988,3.024694318976927,0.10293595910056988,
7,5,3,10,10,10,1,1,1,20,7,1000,20,7,1000,20,7,1000,10,3.2421615773925514,0.31672987475414544,3.00522372518308,0.13919730219330514,
7,5,3,10,10,10,1,1,1,20,7,1000,20,7,1000,20,7,1000,50,3.4525874562721595,0.2117414077578784,2.9749668862181338,0.14009855352214082,
7,5,3,10,10,10,1,1,1,20,7,1000,20,7,1000,20,7,1000,100,3.5036811422731544,0.22131661743159745,3.0073771613046074,0.1273512569140789,
7,5,3,10,10,10,1,1,1,20,15,1000,20,15,1000,20,15,1000,10,3.2985374230230016,0.32665672341738994,2.9326538793284453,0.1629215840221614,
7,5,3,10,10,10,1,1,1,20,15,1000,20,15,1000,20,15,1000,50,3.497655365014566,0.16432815377337634,3.0089944657695367,0.15644052083578286,
7,5,3,10,10,10,1,1,1,20,15,1000,20,15,1000,20,15,1000,100,3.4380920020370604,0.28711183223484865,3.1111936362117962,0.07808394054467176,
7,5,3,10,10,10,1,1,1,20,25,1000,20,25,1000,20,25,1000,10,3.4338842732588284,0.2713491531469858,3.0149397455022826,0.12185567043948838,
7,5,3,10,10,10,1,1,1,20,25,1000,20,25,1000,20,25,1000,50,3.32688376392729,0.27064830355722513,2.9166769885042285,0.2315269265082701,
7,5,3,10,10,10,1,1,1,20,25,1000,20,25,1000,20,25,1000,100,3.3253755417072144,0.29648758890950305,3.1097050064489893,0.0553790798676622,
7,5,3,10,10,50,1,1,1,20,5,1000,20,5,1000,20,5,1000,10,3.1063110761167034,0.376917936394596,3.0053445106937486,0.1834615893028925,
7,5,3,10,10,50,1,1,1,20,5,1000,20,5,1000,20,5,1000,50,3.2357352901855525,0.3055500704017077,2.94787346029696,0.13175134595011634,
7,5,3,10,10,50,1,1,1,20,5,1000,20,5,1000,20,5,1000,100,3.1888601912936365,0.35497731181409115,2.8900705215750335,0.1889251471825976,
7,5,3,10,10,50,1,1,1,20,7,1000,20,7,1000,20,7,1000,10,3.1327827477438666,0.3876391239285261,3.048456491453467,0.15353904571257884,
7,5,3,10,10,50,1,1,1,20,7,1000,20,7,1000,20,7,1000,50,3.237525034735322,0.3420928014237444,2.9508872900077416,0.1606910688661388,
7,5,3,10,10,50,1,1,1,20,7,1000,20,7,1000,20,7,1000,100,3.4068689414068567,0.20924597769707168,2.942212345365485,0.16361474592040962,
7,5,3,10,10,50,1,1,1,20,15,1000,20,15,1000,20,15,1000,10,3.19519472515238,0.3972856212393786,3.0234472254517963,0.15106021566240996,
7,7,3,100,10,10,1,6,1,10,7,1000,10,7,1000,10,7,1000,50,3.6153203119795454,0.039938156955040514,3.0749043449615527,0.006442570749023989,
7,7,3,100,10,10,1,6,1,10,7,1000,10,7,1000,10,7,1000,100,3.584846879144281,0.10275040923974672,3.0515819865619878,0.09545253876174964,
7,7,3,100,10,10,1,6,1,10,35,1000,10,35,1000,10,35,1000,50,3.5392077711772405,0.12078896763566993,3.1018417387599433,0.023117934817874476,
7,7,3,100,10,10,1,6,1,10,35,1000,10,35,1000,10,35,1000,100,3.487769155015118,0.15766330095524467,3.2505221823615487,0.08682827339163521,
7,7,3,100,10,50,1,6,1,10,7,1000,10,7,1000,10,7,1000,50,3.5792617999760683,0.13381213012305654,2.8359697703697977,0.2628760691311366,
7,7,3,100,10,50,1,6,1,10,7,1000,10,7,1000,10,7,1000,100,3.559123081763941,0.14524595109966,3.1348723847880007,0.10693753582866226,
7,7,3,100,10,50,1,6,1,10,35,1000,10,35,1000,10,35,1000,50,3.5881180039608243,0.14887461319037645,2.977973099437933,0.21331129635129914,
7,7,3,100,10,50,1,6,1,10,35,1000,10,35,1000,10,35,1000,100,3.8825316236028056,0.09703684616591186,2.7311199898049408,0.3494253730583045,
